"Date","Price","Open","High","Low","Vol.","Change %"
"02/02/2001","88.000","87.500","88.000","87.500","","-2.11%"
"02/01/2001","89.900","89.400","89.900","89.400","","0.45%"
"01/31/2001","89.500","89.000","89.500","89.000","","0.11%"
"01/30/2001","89.400","88.900","89.400","88.900","","0.31%"
"01/29/2001","89.125","88.750","89.125","88.750","","-0.31%"
"01/26/2001","89.400","88.900","89.400","88.900","","-0.67%"
"01/24/2001","90.000","90.000","90.000","90.000","","1.98%"
"01/23/2001","88.250","88.000","88.250","88.000","","3.62%"
"01/22/2001","85.165","85.130","85.165","85.130","","0.11%"
"01/19/2001","85.075","85.050","85.075","85.050","","0.01%"
"01/18/2001","85.070","85.040","85.070","85.040","","0.13%"
"01/17/2001","84.960","84.930","84.960","84.930","","-0.01%"
"01/16/2001","84.965","84.940","84.965","84.940","","0.02%"
"01/15/2001","84.950","84.900","84.950","84.900","","0.00%"
"01/12/2001","84.950","84.900","84.950","84.900","","1.86%"
"01/11/2001","83.395","83.370","83.395","83.370","","0.54%"
"01/10/2001","82.950","82.900","82.950","82.900","","0.12%"
"01/09/2001","82.850","82.800","82.850","82.800","","-0.06%"
"01/08/2001","82.900","82.850","82.900","82.850","","-0.27%"
"01/05/2001","83.125","83.100","83.125","83.100","","0.51%"
"01/04/2001","82.700","82.650","82.700","82.650","","0.06%"
"01/03/2001","82.650","82.600","82.650","82.600","","0.12%"
"01/02/2001","82.550","82.500","82.550","82.500","","-0.18%"
"12/29/2000","82.700","82.650","82.700","82.650","","0.36%"
"12/28/2000","82.400","82.350","82.400","82.350","","0.00%"
"12/27/2000","82.400","82.350","82.400","82.350","","0.06%"
"12/26/2000","82.350","82.300","82.350","82.300","","0.24%"
"12/25/2000","82.150","82.100","82.150","82.100","","0.00%"
"12/22/2000","82.150","82.100","82.150","82.100","","-0.64%"
"12/21/2000","82.675","82.650","82.675","82.650","","-0.11%"
"12/20/2000","82.765","82.730","82.765","82.730","","0.11%"
"12/19/2000","82.675","82.650","82.675","82.650","","0.45%"
"12/18/2000","82.305","82.260","82.305","82.260","","0.01%"
"12/15/2000","82.300","82.250","82.300","82.250","","0.12%"
"12/14/2000","82.200","82.150","82.200","82.150","","0.06%"
"12/13/2000","82.150","82.100","82.150","82.100","","0.12%"
"12/12/2000","82.050","82.000","82.050","82.000","","0.00%"
"12/11/2000","82.050","82.000","82.050","82.000","","1.23%"
"12/08/2000","81.050","81.000","81.050","81.000","","0.00%"
"12/07/2000","81.050","81.000","81.050","81.000","","-0.12%"
"12/06/2000","81.150","81.100","81.150","81.100","","0.12%"
"12/05/2000","81.050","81.000","81.050","81.000","","0.00%"
"12/04/2000","81.050","81.000","81.050","81.000","","0.00%"
"12/01/2000","81.050","81.000","81.050","81.000","","-0.49%"
"11/30/2000","81.450","81.400","81.450","81.400","","0.37%"
"11/29/2000","81.150","81.100","81.150","81.100","","0.12%"
"11/28/2000","81.050","81.000","81.050","81.000","","0.12%"
"11/27/2000","80.950","80.900","80.950","80.900","","0.00%"
"11/24/2000","80.950","80.900","80.950","80.900","","-0.32%"
"11/23/2000","81.210","81.160","81.210","81.160","","0.32%"
"11/22/2000","80.950","80.900","80.950","80.900","","0.12%"
"11/21/2000","80.850","80.800","80.850","80.800","","0.25%"
"11/20/2000","80.650","80.600","80.650","80.600","","0.12%"
"11/17/2000","80.550","80.500","80.550","80.500","","0.62%"
"11/16/2000","80.050","80.000","80.050","80.000","","-0.37%"
"11/15/2000","80.350","80.300","80.350","80.300","","0.00%"
"11/14/2000","80.350","80.300","80.350","80.300","","0.00%"
"11/13/2000","80.350","80.300","80.350","80.300","","0.50%"
"11/10/2000","79.950","79.900","79.950","79.900","","0.13%"
"11/09/2000","79.850","79.800","79.850","79.800","","-0.37%"
"11/08/2000","80.150","80.100","80.150","80.100","","-0.22%"
"11/07/2000","80.330","80.280","80.330","80.280","","1.49%"
"11/06/2000","79.150","79.100","79.150","79.100","","0.00%"
"11/03/2000","79.150","79.100","79.150","79.100","","0.06%"
"11/02/2000","79.100","79.050","79.100","79.050","","0.06%"
"11/01/2000","79.050","79.000","79.050","79.000","","-0.45%"
"10/31/2000","79.410","79.360","79.410","79.360","","-0.05%"
"10/30/2000","79.450","79.400","79.450","79.400","","0.19%"
"10/27/2000","79.300","79.250","79.300","79.250","","-0.06%"
"10/26/2000","79.350","79.300","79.350","79.300","","0.25%"
"10/25/2000","79.150","79.100","79.150","79.100","","-0.09%"
"10/24/2000","79.225","79.200","79.225","79.200","","0.00%"
"10/23/2000","79.225","79.200","79.225","79.200","","-0.09%"
"10/20/2000","79.300","79.250","79.300","79.250","","0.09%"
"10/19/2000","79.225","79.200","79.225","79.200","","0.00%"
